,width,module,t,l1
0,64,fin,0,0.8149098753929138
1,64,layers.0.query,0,0.5772204995155334
2,64,layers.0.key,0,0.581022322177887
3,64,layers.0.value,0,0.5941454768180847
4,64,layers.0,0,0.3674468398094177
5,64,layers.1.query,0,0.17641261219978333
6,64,layers.1.key,0,0.24193255603313446
7,64,layers.1.value,0,0.2423495352268219
8,64,layers.1,0,0.24230468273162842
9,64,layers.2.query,0,0.17052577435970306
10,64,layers.2.key,0,0.1610855758190155
11,64,layers.2.value,0,0.18306007981300354
12,64,layers.2,0,0.18306009471416473
13,64,layers.3.query,0,0.11143392324447632
14,64,layers.3.key,0,0.14773796498775482
15,64,layers.3.value,0,0.13598960638046265
16,64,layers.3,0,0.13598962128162384
17,64,fout,0,0.10186693072319031
18,64,,0,0.10186693072319031
19,64,fin,1,0.8148900866508484
20,64,layers.0.query,1,0.5771677494049072
21,64,layers.0.key,1,0.5809863209724426
22,64,layers.0.value,1,0.5941069722175598
23,64,layers.0,1,0.36739522218704224
24,64,layers.1.query,1,0.17632868885993958
25,64,layers.1.key,1,0.24185262620449066
26,64,layers.1.value,1,0.24217648804187775
27,64,layers.1,1,0.24213044345378876
28,64,layers.2.query,1,0.17040590941905975
29,64,layers.2.key,1,0.16093800961971283
30,64,layers.2.value,1,0.18281416594982147
31,64,layers.2,1,0.18281416594982147
32,64,layers.3.query,1,0.11127031594514847
33,64,layers.3.key,1,0.14751508831977844
34,64,layers.3.value,1,0.13572008907794952
35,64,layers.3,1,0.13572008907794952
36,64,fout,1,0.10114678740501404
37,64,,1,0.10114678740501404
38,64,fin,2,0.8148705363273621
39,64,layers.0.query,2,0.5771153569221497
40,64,layers.0.key,2,0.5809506177902222
41,64,layers.0.value,2,0.5940680503845215
42,64,layers.0,2,0.36734333634376526
43,64,layers.1.query,2,0.17624594271183014
44,64,layers.1.key,2,0.24177080392837524
45,64,layers.1.value,2,0.24200372397899628
46,64,layers.1,2,0.24195601046085358
47,64,layers.2.query,2,0.17028766870498657
48,64,layers.2.key,2,0.16079214215278625
49,64,layers.2.value,2,0.18256743252277374
50,64,layers.2,2,0.18256743252277374
51,64,layers.3.query,2,0.11110606044530869
52,64,layers.3.key,2,0.1472921371459961
53,64,layers.3.value,2,0.13545045256614685
54,64,layers.3,2,0.13545045256614685
55,64,fout,2,0.10042726248502731
56,64,,2,0.10042726248502731
57,128,fin,0,0.7967124581336975
58,128,layers.0.query,0,0.5854323506355286
59,128,layers.0.key,0,0.5547754764556885
60,128,layers.0.value,0,0.5630514025688171
61,128,layers.0,0,0.34021008014678955
62,128,layers.1.query,0,0.24652083218097687
63,128,layers.1.key,0,0.23194226622581482
64,128,layers.1.value,0,0.21953068673610687
65,128,layers.1,0,0.21947798132896423
66,128,layers.2.query,0,0.18088005483150482
67,128,layers.2.key,0,0.17130425572395325
68,128,layers.2.value,0,0.1707664281129837
69,128,layers.2,0,0.1707664281129837
70,128,layers.3.query,0,0.1157296821475029
71,128,layers.3.key,0,0.11210741102695465
72,128,layers.3.value,0,0.1076396256685257
73,128,layers.3,0,0.10763963311910629
74,128,fout,0,0.08033119887113571
75,128,,0,0.08033119887113571
76,128,fin,1,0.7966850996017456
77,128,layers.0.query,1,0.5854005813598633
78,128,layers.0.key,1,0.5547543168067932
79,128,layers.0.value,1,0.5629923343658447
80,128,layers.0,1,0.3400992751121521
81,128,layers.1.query,1,0.2463548332452774
82,128,layers.1.key,1,0.2318057268857956
83,128,layers.1.value,1,0.21936655044555664
84,128,layers.1,1,0.21931549906730652
85,128,layers.2.query,1,0.18071752786636353
86,128,layers.2.key,1,0.17112348973751068
87,128,layers.2.value,1,0.17058396339416504
88,128,layers.2,1,0.17058396339416504
89,128,layers.3.query,1,0.11543787270784378
90,128,layers.3.key,1,0.11180929839611053
91,128,layers.3.value,1,0.10727155208587646
92,128,layers.3,1,0.10727155953645706
93,128,fout,1,0.07958870381116867
94,128,,1,0.07958870381116867
95,128,fin,2,0.7966573238372803
96,128,layers.0.query,2,0.5853700041770935
97,128,layers.0.key,2,0.5547330975532532
98,128,layers.0.value,2,0.5629326105117798
99,128,layers.0,2,0.33998575806617737
100,128,layers.1.query,2,0.2461901307106018
101,128,layers.1.key,2,0.23166987299919128
102,128,layers.1.value,2,0.21919913589954376
103,128,layers.1,2,0.21914896368980408
104,128,layers.2.query,2,0.18055394291877747
105,128,layers.2.key,2,0.17094431817531586
106,128,layers.2.value,2,0.17040283977985382
107,128,layers.2,2,0.17040283977985382
108,128,layers.3.query,2,0.11514024436473846
109,128,layers.3.key,2,0.11150948703289032
110,128,layers.3.value,2,0.10690951347351074
111,128,layers.3,2,0.10690951347351074
112,128,fout,2,0.07887613028287888
113,128,,2,0.07887613028287888
114,256,fin,0,0.8135337233543396
115,256,layers.0.query,0,0.581088662147522
116,256,layers.0.key,0,0.5684283971786499
117,256,layers.0.value,0,0.5643811821937561
118,256,layers.0,0,0.32293927669525146
119,256,layers.1.query,0,0.2351231724023819
120,256,layers.1.key,0,0.2321474850177765
121,256,layers.1.value,0,0.21924404799938202
122,256,layers.1,0,0.21911177039146423
123,256,layers.2.query,0,0.15226450562477112
124,256,layers.2.key,0,0.1517157107591629
125,256,layers.2.value,0,0.16001679003238678
126,256,layers.2,0,0.16001679003238678
127,256,layers.3.query,0,0.10916223376989365
128,256,layers.3.key,0,0.11315370351076126
129,256,layers.3.value,0,0.10016275197267532
130,256,layers.3,0,0.10016273707151413
131,256,fout,0,0.0744924545288086
132,256,,0,0.0744924545288086
133,256,fin,1,0.8135054111480713
134,256,layers.0.query,1,0.581052839756012
135,256,layers.0.key,1,0.5684000849723816
136,256,layers.0.value,1,0.5643109679222107
137,256,layers.0,1,0.32283008098602295
138,256,layers.1.query,1,0.23495745658874512
139,256,layers.1.key,1,0.23206350207328796
140,256,layers.1.value,1,0.21901115775108337
141,256,layers.1,1,0.21888233721256256
142,256,layers.2.query,1,0.15209117531776428
143,256,layers.2.key,1,0.1514565348625183
144,256,layers.2.value,1,0.15985962748527527
145,256,layers.2,1,0.15985962748527527
146,256,layers.3.query,1,0.1089741438627243
147,256,layers.3.key,1,0.11287224292755127
148,256,layers.3.value,1,0.09990844875574112
149,256,layers.3,1,0.09990844130516052
150,256,fout,1,0.07373299449682236
151,256,,1,0.07373299449682236
152,256,fin,2,0.8134771585464478
153,256,layers.0.query,2,0.5810161828994751
154,256,layers.0.key,2,0.5683727860450745
155,256,layers.0.value,2,0.5642446279525757
156,256,layers.0,2,0.3227340281009674
157,256,layers.1.query,2,0.2347920835018158
158,256,layers.1.key,2,0.23199455440044403
159,256,layers.1.value,2,0.2187986820936203
160,256,layers.1,2,0.21867269277572632
161,256,layers.2.query,2,0.15195396542549133
162,256,layers.2.key,2,0.1511940062046051
163,256,layers.2.value,2,0.15972399711608887
164,256,layers.2,2,0.15972401201725006
165,256,layers.3.query,2,0.10879963636398315
166,256,layers.3.key,2,0.11261562258005142
167,256,layers.3.value,2,0.09967256337404251
168,256,layers.3,2,0.09967257082462311
169,256,fout,2,0.07303734123706818
170,256,,2,0.07303734123706818
171,512,fin,0,0.8129843473434448
172,512,layers.0.query,0,0.5762840509414673
173,512,layers.0.key,0,0.5762239098548889
174,512,layers.0.value,0,0.5780788660049438
175,512,layers.0,0,0.3462582230567932
176,512,layers.1.query,0,0.2269355058670044
177,512,layers.1.key,0,0.22915934026241302
178,512,layers.1.value,0,0.22600020468235016
179,512,layers.1,0,0.22568926215171814
180,512,layers.2.query,0,0.1657772958278656
181,512,layers.2.key,0,0.1607837975025177
182,512,layers.2.value,0,0.15545342862606049
183,512,layers.2,0,0.15545342862606049
184,512,layers.3.query,0,0.11198598891496658
185,512,layers.3.key,0,0.10839514434337616
186,512,layers.3.value,0,0.11297659575939178
187,512,layers.3,0,0.11297659575939178
188,512,fout,0,0.06560536473989487
189,512,,0,0.06560536473989487
190,512,fin,1,0.8129409551620483
191,512,layers.0.query,1,0.5762478113174438
192,512,layers.0.key,1,0.5762039422988892
193,512,layers.0.value,1,0.5779631733894348
194,512,layers.0,1,0.3460577130317688
195,512,layers.1.query,1,0.22681958973407745
196,512,layers.1.key,1,0.22915402054786682
197,512,layers.1.value,1,0.22572264075279236
198,512,layers.1,1,0.22541484236717224
199,512,layers.2.query,1,0.1656753122806549
200,512,layers.2.key,1,0.16069597005844116
201,512,layers.2.value,1,0.15516871213912964
202,512,layers.2,1,0.15516872704029083
203,512,layers.3.query,1,0.11176659166812897
204,512,layers.3.key,1,0.10822875797748566
205,512,layers.3.value,1,0.1128641739487648
206,512,layers.3,1,0.1128641739487648
207,512,fout,1,0.06447132676839828
208,512,,1,0.06447132676839828
209,512,fin,2,0.8129048347473145
210,512,layers.0.query,2,0.5762245059013367
211,512,layers.0.key,2,0.5761887431144714
212,512,layers.0.value,2,0.5778694152832031
213,512,layers.0,2,0.34588584303855896
214,512,layers.1.query,2,0.2267587035894394
215,512,layers.1.key,2,0.22920525074005127
216,512,layers.1.value,2,0.22550083696842194
217,512,layers.1,2,0.22518934309482574
218,512,layers.2.query,2,0.16565018892288208
219,512,layers.2.key,2,0.1606561243534088
220,512,layers.2.value,2,0.15494635701179504
221,512,layers.2,2,0.15494635701179504
222,512,layers.3.query,2,0.11158950626850128
223,512,layers.3.key,2,0.10808990150690079
224,512,layers.3.value,2,0.11280868202447891
225,512,layers.3,2,0.11280868947505951
226,512,fout,2,0.06335920840501785
227,512,,2,0.06335920840501785
228,1024,fin,0,0.8044828176498413
229,1024,layers.0.query,0,0.5675575733184814
230,1024,layers.0.key,0,0.5664249658584595
231,1024,layers.0.value,0,0.5735787153244019
232,1024,layers.0,0,0.34725043177604675
233,1024,layers.1.query,0,0.24275292456150055
234,1024,layers.1.key,0,0.23795805871486664
235,1024,layers.1.value,0,0.24160075187683105
236,1024,layers.1,0,0.24107715487480164
237,1024,layers.2.query,0,0.1675582379102707
238,1024,layers.2.key,0,0.16335546970367432
239,1024,layers.2.value,0,0.16832022368907928
240,1024,layers.2,0,0.16832022368907928
